  PID TTY          TIME CMD
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00   rcu_gp
    4 ?        00:00:00   rcu_par_gp
    7 ?        00:00:00   kworker/u8:0-events_unbound
    8 ?        00:00:00   mm_percpu_wq
    9 ?        00:00:00   rcu_tasks_rude_
   10 ?        00:00:00   rcu_tasks_trace
   11 ?        00:00:00   ksoftirqd/0
   12 ?        00:00:00   rcu_sched
   13 ?        00:00:00   migration/0
   14 ?        00:00:00   cpuhp/0
   15 ?        00:00:00   cpuhp/1
   16 ?        00:00:00   migration/1
   17 ?        00:00:00   ksoftirqd/1
   20 ?        00:00:00   cpuhp/2
   21 ?        00:00:00   migration/2
   22 ?        00:00:00   ksoftirqd/2
   23 ?        00:00:00   kworker/2:0-mm_percpu_wq
   24 ?        00:00:00   kworker/2:0H-kblockd
   25 ?        00:00:00   cpuhp/3
   26 ?        00:00:00   migration/3
   27 ?        00:00:00   ksoftirqd/3
   30 ?        00:00:00   kdevtmpfs
   31 ?        00:00:00   netns
   32 ?        00:00:00   kworker/0:1-events
   33 ?        00:00:00   kworker/1:1-events
   34 ?        00:00:00   kworker/2:1-mm_percpu_wq
   35 ?        00:00:00   kauditd
   36 ?        00:00:00   khungtaskd
   37 ?        00:00:00   oom_reaper
   38 ?        00:00:00   writeback
   39 ?        00:00:00   kcompactd0
   57 ?        00:00:00   kblockd
   58 ?        00:00:00   blkcg_punt_bio
   59 ?        00:00:00   watchdogd
   60 ?        00:00:00   kworker/0:1H-kblockd
   61 ?        00:00:00   rpciod
   62 ?        00:00:00   kworker/u9:0-hci0
   63 ?        00:00:00   xprtiod
   64 ?        00:00:00   kswapd0
   65 ?        00:00:00   nfsiod
   66 ?        00:00:00   kthrotld
   67 ?        00:00:00   iscsi_eh
   68 ?        00:00:00   iscsi_destroy
   72 ?        00:00:00   DWC Notificatio
   73 ?        00:00:00   uas
   74 ?        00:00:00   kworker/0:2-events
   75 ?        00:00:00   vchiq-slot/0
   76 ?        00:00:00   vchiq-recy/0
   77 ?        00:00:00   vchiq-sync/0
   78 ?        00:00:00   zswap-shrink
   79 ?        00:00:00   kworker/0:3-events
   80 ?        00:00:00   sdhci
   81 ?        00:00:00   irq/47-mmc0
   83 ?        00:00:00   mmc_complete
   84 ?        00:00:00   kworker/3:1H-kblockd
   85 ?        00:00:00   jbd2/mmcblk0p2-
   86 ?        00:00:00   ext4-rsv-conver
   87 ?        00:00:00   kworker/3:2H
   88 ?        00:00:00   scsi_eh_0
   89 ?        00:00:00   scsi_tmf_0
   90 ?        00:00:00   usb-storage
   91 ?        00:00:00   ipv6_addrconf
   92 ?        00:00:00   kworker/3:2-events
   94 ?        00:00:00   kworker/1:1H-kblockd
  108 ?        00:00:00   kworker/2:2H-kblockd
  110 ?        00:00:00   kworker/1:2H-kblockd
  111 ?        00:00:00   kworker/0:2H-mmc_complete
  150 ?        00:00:00   kworker/3:3-mm_percpu_wq
  159 ?        00:00:00   kworker/1:2-events
  190 ?        00:00:00   vchiq-keep/0
  191 ?        00:00:00   SMIO
  195 ?        00:00:00   mmal-vchiq
  197 ?        00:00:00   mmal-vchiq
  198 ?        00:00:00   mmal-vchiq
  199 ?        00:00:00   mmal-vchiq
  200 ?        00:00:00   kworker/2:2-mm_percpu_wq
  252 ?        00:00:00   v3d_bin
  253 ?        00:00:00   v3d_render
  254 ?        00:00:00   v3d_tfu
  256 ?        00:00:00   v3d_csd
  261 ?        00:00:00   v3d_cache_clean
  266 ?        00:00:00   cfg80211
  278 ?        00:00:00   brcmf_wq/mmc1:0
  282 ?        00:00:00   brcmf_wdog/mmc1
  284 ?        00:00:00   card1-crtc0
  298 ?        00:00:00   kworker/u8:3-flush-179:0
  511 ?        00:00:00   kworker/u9:2-hci0
 1317 ?        00:00:00   kworker/2:3-events
 1894 ?        00:00:00   kworker/1:0-events
    1 ?        00:00:04 systemd
  124 ?        00:00:00   rngd
  140 ?        00:00:00   systemd-journal
  160 ?        00:00:00   systemd-udevd
  334 ?        00:00:00   systemd-timesyn
  371 ?        00:00:00   systemd-logind
  373 ?        00:00:00   cron
  382 ?        00:00:00   dbus-daemon
  396 ?        00:00:00   wpa_supplicant
  397 ?        00:00:00   avahi-daemon
  425 ?        00:00:00     avahi-daemon
  408 ?        00:00:00   rsyslogd
  413 ?        00:00:00   alsactl
  417 ?        00:00:00   thd
  490 ?        00:00:00   wpa_supplicant
  509 ?        00:00:00   hciattach
  513 ?        00:00:00   bluetoothd
  578 ?        00:00:00   dhcpcd
  583 tty1     00:00:00   login
  641 tty1     00:00:00     bash
 2376 tty1     00:00:00       ps
  584 ?        00:00:00   sshd
  631 ?        00:00:00   systemd
  632 ?        00:00:00     (sd-pam)
