  PID TTY          TIME CMD
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00   rcu_gp
    4 ?        00:00:00   rcu_par_gp
    5 ?        00:00:00   kworker/0:0-events
    8 ?        00:00:00   mm_percpu_wq
    9 ?        00:00:00   rcu_tasks_rude_
   10 ?        00:00:00   rcu_tasks_trace
   11 ?        00:00:00   ksoftirqd/0
   12 ?        00:00:00   rcu_sched
   13 ?        00:00:00   migration/0
   14 ?        00:00:00   cpuhp/0
   15 ?        00:00:00   cpuhp/1
   16 ?        00:00:00   migration/1
   17 ?        00:00:00   ksoftirqd/1
   20 ?        00:00:00   cpuhp/2
   21 ?        00:00:00   migration/2
   22 ?        00:00:00   ksoftirqd/2
   25 ?        00:00:00   cpuhp/3
   26 ?        00:00:00   migration/3
   27 ?        00:00:00   ksoftirqd/3
   30 ?        00:00:00   kdevtmpfs
   31 ?        00:00:00   netns
   33 ?        00:00:00   kworker/1:1-events
   34 ?        00:00:00   kworker/2:1-mm_percpu_wq
   35 ?        00:00:00   kauditd
   36 ?        00:00:00   khungtaskd
   37 ?        00:00:00   oom_reaper
   38 ?        00:00:00   writeback
   39 ?        00:00:00   kcompactd0
   57 ?        00:00:00   kblockd
   58 ?        00:00:00   blkcg_punt_bio
   59 ?        00:00:00   watchdogd
   60 ?        00:00:00   kworker/3:1-events_power_efficient
   61 ?        00:00:00   kworker/0:1H-kblockd
   62 ?        00:00:00   rpciod
   63 ?        00:00:00   kworker/u9:0-hci0
   64 ?        00:00:00   xprtiod
   65 ?        00:00:00   kswapd0
   66 ?        00:00:00   nfsiod
   67 ?        00:00:00   kthrotld
   68 ?        00:00:00   iscsi_eh
   69 ?        00:00:00   iscsi_destroy
   72 ?        00:00:00   DWC Notificatio
   73 ?        00:00:00   uas
   75 ?        00:00:00   vchiq-slot/0
   76 ?        00:00:00   vchiq-recy/0
   77 ?        00:00:00   vchiq-sync/0
   78 ?        00:00:00   zswap-shrink
   80 ?        00:00:00   sdhci
   81 ?        00:00:00   irq/47-mmc0
   83 ?        00:00:00   mmc_complete
   84 ?        00:00:00   kworker/2:1H-kblockd
   85 ?        00:00:00   jbd2/mmcblk0p2-
   86 ?        00:00:00   ext4-rsv-conver
   87 ?        00:00:00   kworker/2:2H-kblockd
   88 ?        00:00:00   ipv6_addrconf
   89 ?        00:00:00   kworker/2:2-events
   91 ?        00:00:00   kworker/3:1H-kblockd
   94 ?        00:00:00   kworker/1:1H-kblockd
  106 ?        00:00:00   kworker/0:2H-mmc_complete
  110 ?        00:00:00   kworker/1:2H
  113 ?        00:00:00   kworker/3:2H
  144 ?        00:00:00   kworker/3:2-mm_percpu_wq
  176 ?        00:00:00   vchiq-keep/0
  177 ?        00:00:00   SMIO
  191 ?        00:00:00   mmal-vchiq
  195 ?        00:00:00   mmal-vchiq
  197 ?        00:00:00   mmal-vchiq
  208 ?        00:00:00   mmal-vchiq
  217 ?        00:00:00   v3d_bin
  218 ?        00:00:00   v3d_render
  219 ?        00:00:00   v3d_tfu
  220 ?        00:00:00   v3d_csd
  225 ?        00:00:00   card1-crtc0
  226 ?        00:00:00   v3d_cache_clean
  235 ?        00:00:00   cfg80211
  240 ?        00:00:00   kworker/1:3-mm_percpu_wq
  241 ?        00:00:00   brcmf_wq/mmc1:0
  246 ?        00:00:00   brcmf_wdog/mmc1
  406 ?        00:00:00   kworker/u8:2-brcmf_wq/mmc1:0001:1
  491 ?        00:00:00   kworker/u8:3-events_unbound
  503 ?        00:00:00   kworker/u9:2-hci0
 2062 ?        00:00:00   kworker/0:2-events
 2112 ?        00:00:00   scsi_eh_0
 2113 ?        00:00:00   scsi_tmf_0
 2114 ?        00:00:00   usb-storage
 2186 ?        00:00:00   kworker/3:0-mm_percpu_wq
 2286 ?        00:00:00   kworker/u8:0-events_unbound
 2405 ?        00:00:00   jbd2/sda2-8
 2406 ?        00:00:00   ext4-rsv-conver
 3095 ?        00:00:00   kworker/1:0-events
 3273 ?        00:00:00   kworker/2:0
 3482 ?        00:00:00   kworker/0:1-events
    1 ?        00:00:04 systemd
  126 ?        00:00:00   systemd-journal
  149 ?        00:00:00   systemd-udevd
  319 ?        00:00:00   systemd-timesyn
  354 ?        00:00:00   avahi-daemon
  374 ?        00:00:00     avahi-daemon
  355 ?        00:00:00   cron
  357 ?        00:00:00   alsactl
  364 ?        00:00:00   rsyslogd
  368 ?        00:00:00   dbus-daemon
  373 ?        00:00:00   systemd-logind
  375 ?        00:00:00   thd
  377 ?        00:00:00   rngd
  382 ?        00:00:00   wpa_supplicant
  484 ?        00:00:00   wpa_supplicant
  500 ?        00:00:00   hciattach
  505 ?        00:00:00   bluetoothd
  570 ?        00:00:00   dhcpcd
  576 ?        00:00:00   sshd
  603 tty1     00:00:00   login
  651 tty1     00:00:00     bash
 3579 tty1     00:00:00       ps
  641 ?        00:00:00   systemd
  642 ?        00:00:00     (sd-pam)
